class,source_path,staged_path,mask_should_go_to
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.jpg,annotation_staging/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.jpg,lesion_masks/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.jpg,annotation_staging/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.jpg,lesion_masks/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.jpg,annotation_staging/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.jpg,lesion_masks/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1625__jpg.rf.07d2686814604ca587265b9ddfa4af82.jpg,annotation_staging/anthracnose/anthracnose1625__jpg.rf.07d2686814604ca587265b9ddfa4af82.jpg,lesion_masks/anthracnose/anthracnose1625__jpg.rf.07d2686814604ca587265b9ddfa4af82.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose78__jpg.rf.3f26f58a4e50f8e89df92fb8eda34e38.jpg,annotation_staging/anthracnose/anthracnose78__jpg.rf.3f26f58a4e50f8e89df92fb8eda34e38.jpg,lesion_masks/anthracnose/anthracnose78__jpg.rf.3f26f58a4e50f8e89df92fb8eda34e38.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.jpg,annotation_staging/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.jpg,lesion_masks/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.jpg,annotation_staging/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.jpg,lesion_masks/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.jpg,annotation_staging/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.jpg,lesion_masks/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1509__jpg.rf.af8dfed7324d4aed6f64e3815662b549.jpg,annotation_staging/anthracnose/anthracnose1509__jpg.rf.af8dfed7324d4aed6f64e3815662b549.jpg,lesion_masks/anthracnose/anthracnose1509__jpg.rf.af8dfed7324d4aed6f64e3815662b549.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.jpg,annotation_staging/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.jpg,lesion_masks/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.jpg,annotation_staging/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.jpg,lesion_masks/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose335__jpg.rf.55150b30ae1c6ba1127d6520a5fa7c7b.jpg,annotation_staging/anthracnose/anthracnose335__jpg.rf.55150b30ae1c6ba1127d6520a5fa7c7b.jpg,lesion_masks/anthracnose/anthracnose335__jpg.rf.55150b30ae1c6ba1127d6520a5fa7c7b.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.jpg,annotation_staging/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.jpg,lesion_masks/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1397__jpg.rf.533b79f126530c3e4835c498eabc1069.jpg,annotation_staging/anthracnose/anthracnose1397__jpg.rf.533b79f126530c3e4835c498eabc1069.jpg,lesion_masks/anthracnose/anthracnose1397__jpg.rf.533b79f126530c3e4835c498eabc1069.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1227__jpg.rf.e8cf159498fa799290ce7c555e9c29aa.jpg,annotation_staging/anthracnose/anthracnose1227__jpg.rf.e8cf159498fa799290ce7c555e9c29aa.jpg,lesion_masks/anthracnose/anthracnose1227__jpg.rf.e8cf159498fa799290ce7c555e9c29aa.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.jpg,annotation_staging/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.jpg,lesion_masks/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.jpg,annotation_staging/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.jpg,lesion_masks/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.jpg,annotation_staging/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.jpg,lesion_masks/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.jpg,annotation_staging/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.jpg,lesion_masks/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.jpg,annotation_staging/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.jpg,lesion_masks/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.png
healthy,cashew_leaf_dataset_raw/healthy/healthy973__jpg.rf.ba3ca6c0948b0927df585f0c2a2fc276.jpg,annotation_staging/healthy/healthy973__jpg.rf.ba3ca6c0948b0927df585f0c2a2fc276.jpg,lesion_masks/healthy/healthy973__jpg.rf.ba3ca6c0948b0927df585f0c2a2fc276.png
healthy,cashew_leaf_dataset_raw/healthy/healthy115__jpg.rf.6e7006ab4e2b1a52bd4dee0f26b9d368.jpg,annotation_staging/healthy/healthy115__jpg.rf.6e7006ab4e2b1a52bd4dee0f26b9d368.jpg,lesion_masks/healthy/healthy115__jpg.rf.6e7006ab4e2b1a52bd4dee0f26b9d368.png
healthy,cashew_leaf_dataset_raw/healthy/healthy384__jpg.rf.aab0366c188ee8a26a1127e6bc315d7c.jpg,annotation_staging/healthy/healthy384__jpg.rf.aab0366c188ee8a26a1127e6bc315d7c.jpg,lesion_masks/healthy/healthy384__jpg.rf.aab0366c188ee8a26a1127e6bc315d7c.png
healthy,cashew_leaf_dataset_raw/healthy/healthy924__jpg.rf.4a7832f96683222b3a36efb04619873c.jpg,annotation_staging/healthy/healthy924__jpg.rf.4a7832f96683222b3a36efb04619873c.jpg,lesion_masks/healthy/healthy924__jpg.rf.4a7832f96683222b3a36efb04619873c.png
healthy,cashew_leaf_dataset_raw/healthy/healthy1296__jpg.rf.f234c16b41e69d7aee09435d84f6e4b2.jpg,annotation_staging/healthy/healthy1296__jpg.rf.f234c16b41e69d7aee09435d84f6e4b2.jpg,lesion_masks/healthy/healthy1296__jpg.rf.f234c16b41e69d7aee09435d84f6e4b2.png
healthy,cashew_leaf_dataset_raw/healthy/healthy752__jpg.rf.b29b5f1b2eacc0b19202edf34f331e60.jpg,annotation_staging/healthy/healthy752__jpg.rf.b29b5f1b2eacc0b19202edf34f331e60.jpg,lesion_masks/healthy/healthy752__jpg.rf.b29b5f1b2eacc0b19202edf34f331e60.png
healthy,cashew_leaf_dataset_raw/healthy/healthy50__jpg.rf.8d4251b7701c1df0d6a4285572d47167.jpg,annotation_staging/healthy/healthy50__jpg.rf.8d4251b7701c1df0d6a4285572d47167.jpg,lesion_masks/healthy/healthy50__jpg.rf.8d4251b7701c1df0d6a4285572d47167.png
healthy,cashew_leaf_dataset_raw/healthy/healthy277__jpg.rf.91b1b3d729ca2c3ce26cf6eec477d03b.jpg,annotation_staging/healthy/healthy277__jpg.rf.91b1b3d729ca2c3ce26cf6eec477d03b.jpg,lesion_masks/healthy/healthy277__jpg.rf.91b1b3d729ca2c3ce26cf6eec477d03b.png
healthy,cashew_leaf_dataset_raw/healthy/healthy507__jpg.rf.8d92a364dbc5f48e2cbee7cd52f3cc6d.jpg,annotation_staging/healthy/healthy507__jpg.rf.8d92a364dbc5f48e2cbee7cd52f3cc6d.jpg,lesion_masks/healthy/healthy507__jpg.rf.8d92a364dbc5f48e2cbee7cd52f3cc6d.png
healthy,cashew_leaf_dataset_raw/healthy/healthy53__jpg.rf.337c07cffaf38a917bc06264f59cc84c.jpg,annotation_staging/healthy/healthy53__jpg.rf.337c07cffaf38a917bc06264f59cc84c.jpg,lesion_masks/healthy/healthy53__jpg.rf.337c07cffaf38a917bc06264f59cc84c.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner83__jpg.rf.421012b7860aec2a41ff9ab3626fb410.jpg,annotation_staging/leaf_miner/leaf-miner83__jpg.rf.421012b7860aec2a41ff9ab3626fb410.jpg,lesion_masks/leaf_miner/leaf-miner83__jpg.rf.421012b7860aec2a41ff9ab3626fb410.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner700__jpg.rf.98f8d725af3854d7f6365fa8eac76593.jpg,annotation_staging/leaf_miner/leaf-miner700__jpg.rf.98f8d725af3854d7f6365fa8eac76593.jpg,lesion_masks/leaf_miner/leaf-miner700__jpg.rf.98f8d725af3854d7f6365fa8eac76593.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner735__jpg.rf.be1506b6e4156f4d07a150d36b881ce3.jpg,annotation_staging/leaf_miner/leaf-miner735__jpg.rf.be1506b6e4156f4d07a150d36b881ce3.jpg,lesion_masks/leaf_miner/leaf-miner735__jpg.rf.be1506b6e4156f4d07a150d36b881ce3.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.jpg,annotation_staging/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.jpg,lesion_masks/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1235__jpg.rf.4a604cc4f3a1ab83bdc42e8fb6d74293.jpg,annotation_staging/leaf_miner/leaf-miner1235__jpg.rf.4a604cc4f3a1ab83bdc42e8fb6d74293.jpg,lesion_masks/leaf_miner/leaf-miner1235__jpg.rf.4a604cc4f3a1ab83bdc42e8fb6d74293.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.jpg,annotation_staging/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.jpg,lesion_masks/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner342__jpg.rf.84e9b41f40dc7f6654d5e8c19b2f702e.jpg,annotation_staging/leaf_miner/leaf-miner342__jpg.rf.84e9b41f40dc7f6654d5e8c19b2f702e.jpg,lesion_masks/leaf_miner/leaf-miner342__jpg.rf.84e9b41f40dc7f6654d5e8c19b2f702e.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner339__jpg.rf.934dfc96144e404042c93260cf5b4caf.jpg,annotation_staging/leaf_miner/leaf-miner339__jpg.rf.934dfc96144e404042c93260cf5b4caf.jpg,lesion_masks/leaf_miner/leaf-miner339__jpg.rf.934dfc96144e404042c93260cf5b4caf.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner593__jpg.rf.40a54e6aff520fc0ac58011289cf2d8b.jpg,annotation_staging/leaf_miner/leaf-miner593__jpg.rf.40a54e6aff520fc0ac58011289cf2d8b.jpg,lesion_masks/leaf_miner/leaf-miner593__jpg.rf.40a54e6aff520fc0ac58011289cf2d8b.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.jpg,annotation_staging/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.jpg,lesion_masks/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1189__jpg.rf.744fd3c62c88de5338dd0d51e1496e9d.jpg,annotation_staging/leaf_miner/leaf-miner1189__jpg.rf.744fd3c62c88de5338dd0d51e1496e9d.jpg,lesion_masks/leaf_miner/leaf-miner1189__jpg.rf.744fd3c62c88de5338dd0d51e1496e9d.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1171__jpg.rf.2eff08538f431bad74b1c9f6479df62e.jpg,annotation_staging/leaf_miner/leaf-miner1171__jpg.rf.2eff08538f431bad74b1c9f6479df62e.jpg,lesion_masks/leaf_miner/leaf-miner1171__jpg.rf.2eff08538f431bad74b1c9f6479df62e.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner280__jpg.rf.3b15ea953dee471420cbebfe90c3ca4e.jpg,annotation_staging/leaf_miner/leaf-miner280__jpg.rf.3b15ea953dee471420cbebfe90c3ca4e.jpg,lesion_masks/leaf_miner/leaf-miner280__jpg.rf.3b15ea953dee471420cbebfe90c3ca4e.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner55__jpg.rf.6c8b8e51459dd1dfb50d0f28a57e37db.jpg,annotation_staging/leaf_miner/leaf-miner55__jpg.rf.6c8b8e51459dd1dfb50d0f28a57e37db.jpg,lesion_masks/leaf_miner/leaf-miner55__jpg.rf.6c8b8e51459dd1dfb50d0f28a57e37db.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner703__jpg.rf.f706c18ce7ba01f6f2bb590123404be3.jpg,annotation_staging/leaf_miner/leaf-miner703__jpg.rf.f706c18ce7ba01f6f2bb590123404be3.jpg,lesion_masks/leaf_miner/leaf-miner703__jpg.rf.f706c18ce7ba01f6f2bb590123404be3.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner163__jpg.rf.f79dbeb8cf84e93f295b04e153c11711.jpg,annotation_staging/leaf_miner/leaf-miner163__jpg.rf.f79dbeb8cf84e93f295b04e153c11711.jpg,lesion_masks/leaf_miner/leaf-miner163__jpg.rf.f79dbeb8cf84e93f295b04e153c11711.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner425__jpg.rf.6e00abdbb875590d2906d43e07cec6e2.jpg,annotation_staging/leaf_miner/leaf-miner425__jpg.rf.6e00abdbb875590d2906d43e07cec6e2.jpg,lesion_masks/leaf_miner/leaf-miner425__jpg.rf.6e00abdbb875590d2906d43e07cec6e2.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner930__jpg.rf.4643553fc2fa419811dddab241925f08.jpg,annotation_staging/leaf_miner/leaf-miner930__jpg.rf.4643553fc2fa419811dddab241925f08.jpg,lesion_masks/leaf_miner/leaf-miner930__jpg.rf.4643553fc2fa419811dddab241925f08.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.jpg,annotation_staging/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.jpg,lesion_masks/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.jpg,annotation_staging/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.jpg,lesion_masks/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.jpg,annotation_staging/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.jpg,lesion_masks/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner601__jpg.rf.d5658922041cee38c4a425786c670da9.jpg,annotation_staging/leaf_miner/leaf-miner601__jpg.rf.d5658922041cee38c4a425786c670da9.jpg,lesion_masks/leaf_miner/leaf-miner601__jpg.rf.d5658922041cee38c4a425786c670da9.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.jpg,annotation_staging/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.jpg,lesion_masks/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner641__jpg.rf.59539869fbc94461be922999eb176ce2.jpg,annotation_staging/leaf_miner/leaf-miner641__jpg.rf.59539869fbc94461be922999eb176ce2.jpg,lesion_masks/leaf_miner/leaf-miner641__jpg.rf.59539869fbc94461be922999eb176ce2.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1233__jpg.rf.38b07509ce8fb9398f06b9f5092cdb30.jpg,annotation_staging/leaf_miner/leaf-miner1233__jpg.rf.38b07509ce8fb9398f06b9f5092cdb30.jpg,lesion_masks/leaf_miner/leaf-miner1233__jpg.rf.38b07509ce8fb9398f06b9f5092cdb30.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1140__jpg.rf.abf4d6fd6a8701382e19b5d31d1e449b.jpg,annotation_staging/leaf_miner/leaf-miner1140__jpg.rf.abf4d6fd6a8701382e19b5d31d1e449b.jpg,lesion_masks/leaf_miner/leaf-miner1140__jpg.rf.abf4d6fd6a8701382e19b5d31d1e449b.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.jpg,annotation_staging/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.jpg,lesion_masks/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner792__jpg.rf.6ce8204da631ae98ed0188e4c5e09917.jpg,annotation_staging/leaf_miner/leaf-miner792__jpg.rf.6ce8204da631ae98ed0188e4c5e09917.jpg,lesion_masks/leaf_miner/leaf-miner792__jpg.rf.6ce8204da631ae98ed0188e4c5e09917.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner578__jpg.rf.35c7234a50434cb3ace14078e1db60cd.jpg,annotation_staging/leaf_miner/leaf-miner578__jpg.rf.35c7234a50434cb3ace14078e1db60cd.jpg,lesion_masks/leaf_miner/leaf-miner578__jpg.rf.35c7234a50434cb3ace14078e1db60cd.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1103__jpg.rf.82ad55e592415c59e9ba3dcd0cd1102c.jpg,annotation_staging/leaf_miner/leaf-miner1103__jpg.rf.82ad55e592415c59e9ba3dcd0cd1102c.jpg,lesion_masks/leaf_miner/leaf-miner1103__jpg.rf.82ad55e592415c59e9ba3dcd0cd1102c.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.jpg,annotation_staging/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.jpg,lesion_masks/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner185__jpg.rf.ae64bbe6622d9abdfbbfbc8c66dfcfe8.jpg,annotation_staging/leaf_miner/leaf-miner185__jpg.rf.ae64bbe6622d9abdfbbfbc8c66dfcfe8.jpg,lesion_masks/leaf_miner/leaf-miner185__jpg.rf.ae64bbe6622d9abdfbbfbc8c66dfcfe8.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1265__jpg.rf.a35767c9c8d18c2869732a37d28f8daf.jpg,annotation_staging/leaf_miner/leaf-miner1265__jpg.rf.a35767c9c8d18c2869732a37d28f8daf.jpg,lesion_masks/leaf_miner/leaf-miner1265__jpg.rf.a35767c9c8d18c2869732a37d28f8daf.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner1120__jpg.rf.707687bb03ab021b67a11e826c6d1c14.jpg,annotation_staging/leaf_miner/leaf-miner1120__jpg.rf.707687bb03ab021b67a11e826c6d1c14.jpg,lesion_masks/leaf_miner/leaf-miner1120__jpg.rf.707687bb03ab021b67a11e826c6d1c14.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.jpg,annotation_staging/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.jpg,lesion_masks/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner783__jpg.rf.5915481399e330db13ebc9fe6854ee15.jpg,annotation_staging/leaf_miner/leaf-miner783__jpg.rf.5915481399e330db13ebc9fe6854ee15.jpg,lesion_masks/leaf_miner/leaf-miner783__jpg.rf.5915481399e330db13ebc9fe6854ee15.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.jpg,annotation_staging/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.jpg,lesion_masks/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner273__jpg.rf.cc8d0aae7753c003d4cf3ba89c767ef1.jpg,annotation_staging/leaf_miner/leaf-miner273__jpg.rf.cc8d0aae7753c003d4cf3ba89c767ef1.jpg,lesion_masks/leaf_miner/leaf-miner273__jpg.rf.cc8d0aae7753c003d4cf3ba89c767ef1.png
leaf_miner,cashew_leaf_dataset_raw/leaf_miner/leaf-miner847__jpg.rf.4beddbe481522c856ff0544302fc52f0.jpg,annotation_staging/leaf_miner/leaf-miner847__jpg.rf.4beddbe481522c856ff0544302fc52f0.jpg,lesion_masks/leaf_miner/leaf-miner847__jpg.rf.4beddbe481522c856ff0544302fc52f0.png
