path,label,class,group,split,fold
cashew_leaf_dataset_raw/anthracnose/anthracnose542__jpg.rf.bf9c1aa01f994d31249d74834d4cdf92.jpg,0,anthracnose,88545e1cf940,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1006__jpg.rf.db41440b95224b231a4268fa773d1b5e.jpg,0,anthracnose,f66103fc26e9,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose956__jpg.rf.15ad55873a7657a8a3fee8232f5ef778.jpg,0,anthracnose,6451a066b75f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose737__jpg.rf.08cbcac7aac830bdf9d1a09f1a13204a.jpg,0,anthracnose,5d396344a822,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1289__jpg.rf.83cc81729f163b30137c3f7f884de772.jpg,0,anthracnose,9205fd48612c,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1146__jpg.rf.b6be16fef49c79578822902b961de4ec.jpg,0,anthracnose,56cc4dea572b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose418__jpg.rf.9a2505159d3d57d291d55cbcf91ddd40.jpg,0,anthracnose,4dadc059e8df,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1715__jpg.rf.9236c41620bb8261899469bbad59783b.jpg,0,anthracnose,055ec0b2ce1a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose983__jpg.rf.7b56ce897aad181ec60d4b188f6f864c.jpg,0,anthracnose,e31e51376e46,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1293__jpg.rf.22384f30f12196d70f6316e608f907af.jpg,0,anthracnose,0fe958ef7b13,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1730__jpg.rf.1aea109d4d63258fb5d1a2631aef945f.jpg,0,anthracnose,fc82b3e03b6d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose771__jpg.rf.6b73595a9c52c5e4fe2fc1b80eebd3e1.jpg,0,anthracnose,0b338bb943e6,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1719__jpg.rf.85b4aa4f02ddfe8b79577e74e3914b1d.jpg,0,anthracnose,d42bf4075c61,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1616__jpg.rf.afaf4ad01e164a60fdec554270387d64.jpg,0,anthracnose,fd6964948efb,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1392__jpg.rf.27c51f5c7237e12cf4ff8a8527307cde.jpg,0,anthracnose,00ea71536031,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose86__jpg.rf.8895a53e34f80b7a9e166208245cc1c0.jpg,0,anthracnose,37a5d63229c7,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1426__jpg.rf.851871f0a42528892634b2aabd4bd868.jpg,0,anthracnose,045b81303da8,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose918__jpg.rf.b6c95310f951dfccd02c3010aa5784a5.jpg,0,anthracnose,145e3efe82e3,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1496__jpg.rf.5272cc054ee21a4a8b6467e1fca7713a.jpg,0,anthracnose,89f46881e558,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose659__jpg.rf.7649bd88e71595b06a4049de0937d200.jpg,0,anthracnose,d6be4bddda21,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose777__jpg.rf.d9659ab268bf8280d24e9443b9ffea0a.jpg,0,anthracnose,88e8f58b0a3f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1439__jpg.rf.2dfc9eab109566a51cbce70642a9587e.jpg,0,anthracnose,e527257496dc,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose402__jpg.rf.98d825b631d5e1f06ba495b7b45d7319.jpg,0,anthracnose,abb15fe3d4bb,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose684__jpg.rf.a8e661fae367bb39566ad145b027f078.jpg,0,anthracnose,a272e30e64d3,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1182__jpg.rf.2ae3b5eaf737d398a4ab875575e4a07d.jpg,0,anthracnose,00c507b99f33,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose929__jpg.rf.1de68b666ee63dcc85e6b457b8b49863.jpg,0,anthracnose,197c69fe0849,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose188__jpg.rf.d466664fa8fb43f3e300b0390b36ef64.jpg,0,anthracnose,50a855ef3e10,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1472__jpg.rf.03ce72876651ebef20207f90b0e48bae.jpg,0,anthracnose,fef23969565a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1618__jpg.rf.a54eba5bfb6fff0cc25304723e41968d.jpg,0,anthracnose,5dac5e9cd741,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1397__jpg.rf.533b79f126530c3e4835c498eabc1069.jpg,0,anthracnose,7abac3e07a03,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose197__jpg.rf.b1c73cde262f469169d500c684690b9e.jpg,0,anthracnose,2cf0a5e65c1d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1230__jpg.rf.92fc8a3b961e617e204e7c6800faf17b.jpg,0,anthracnose,a52e1adcf902,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose930__jpg.rf.12d6b2cf7f7a4b6860a16ae1d4ad99a3.jpg,0,anthracnose,f72326a3e04b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose255__jpg.rf.828858c9a4d7261c3aee648f58fc5bc6.jpg,0,anthracnose,7c5a6976480a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose244__jpg.rf.db2971ca1db6578202aca683dc780653.jpg,0,anthracnose,ac1ce8b8412e,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1300__jpg.rf.df5bfc8418e18d067d9972eca8ad236c.jpg,0,anthracnose,64fe126881da,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1017__jpg.rf.554ba35d1a696f15d8327139854e64d3.jpg,0,anthracnose,e002972b0427,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1621__jpg.rf.e610fb7ad3dd8171ddea03447f5da1be.jpg,0,anthracnose,51a7080f0a55,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose103__jpg.rf.03b7b88d87e1d8f29403a4c0dab31a48.jpg,0,anthracnose,4b388ae7e093,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1117__jpg.rf.defc2db6d285d600b409a0aa03229f4b.jpg,0,anthracnose,ff7c401dd7c9,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1073__jpg.rf.c4baee1c7b80e5b15df308c57801a477.jpg,0,anthracnose,9c90e42b3fc9,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1460__jpg.rf.147a1ebde506ccc001ca4cd1240e37c5.jpg,0,anthracnose,15da2b25aff0,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose152__jpg.rf.2745632e438b8be2c49fb292363336ec.jpg,0,anthracnose,c92ccb0685d0,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1547__jpg.rf.d9e8842a9817b872dbba627e1ad5b2c4.jpg,0,anthracnose,b3825d79521d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose567__jpg.rf.b80372300628e6bd1ede72d7024280ac.jpg,0,anthracnose,1c1b46321fdf,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1574__jpg.rf.d69bfe68a2562316bf2f932ee7d67de1.jpg,0,anthracnose,e7bb1e56e218,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose354__jpg.rf.fe1d0def5f100b07c22ba822f2c3069c.jpg,0,anthracnose,cf4981a2bf67,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose879__jpg.rf.29cec9d5a59006a712cbfabfa222b5cc.jpg,0,anthracnose,18cfd8062364,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose366__jpg.rf.8031bceeeb97bd98edfac712444c36ac.jpg,0,anthracnose,6705dc5c14cc,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1332__jpg.rf.413cb69718cd7259bd5954872df4fac9.jpg,0,anthracnose,9950d8b8e82d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose392__jpg.rf.71685a2458154b83999444b33d245438.jpg,0,anthracnose,c19c3d35189b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1637__jpg.rf.8e6810778da0fe1132ab44f59e9ee371.jpg,0,anthracnose,d3373588d8a8,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose335__jpg.rf.55150b30ae1c6ba1127d6520a5fa7c7b.jpg,0,anthracnose,e0f54eb638e9,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1288__jpg.rf.40c08b9d95cf7577e51f1694c4e9258e.jpg,0,anthracnose,b06739b9e926,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1115__jpg.rf.37b5bffb35c3c8c5ad627903921ae885.jpg,0,anthracnose,fc9ad6facf4b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose572__jpg.rf.76e93fa7249fe8af4624a911bc10ff16.jpg,0,anthracnose,9ab2471b149c,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1351__jpg.rf.fcda00b41ba4b8f6b8714348687e6ec2.jpg,0,anthracnose,b9e66a2a3f1d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose178__jpg.rf.53cdcc927f5d00b9c31cf0efeb03a2ec.jpg,0,anthracnose,6406f86905b9,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose564__jpg.rf.ac9b0cd92ef2c3c62f59028cde140162.jpg,0,anthracnose,2dc80fbebc87,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose346__jpg.rf.97fe404bcef31e61d42e4133e958f714.jpg,0,anthracnose,661ea2091e99,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose365__jpg.rf.532916ded9f4fd14dd626573083a5251.jpg,0,anthracnose,c7d668b0e7d8,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1339__jpg.rf.794d1f987b0dfe512f2a0c931fd388cd.jpg,0,anthracnose,8e5f795a6f61,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose411__jpg.rf.d258506f7ed619845326bf6ddb6cffc7.jpg,0,anthracnose,86edfa44e801,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose734__jpg.rf.c771b66430cc41e5599758df76f1b6a4.jpg,0,anthracnose,3453aa73aee1,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1409__jpg.rf.dcb9dd605390c0eea0d0fafe375a53ff.jpg,0,anthracnose,b64bd20c8a53,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose654__jpg.rf.ccb7e737858989d9a3b00793e74f6676.jpg,0,anthracnose,8e75cc212a00,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose9__jpg.rf.688941d9428d077fcad36b034bdf2c28.jpg,0,anthracnose,a0ae17c0a6e6,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose381__jpg.rf.0b91546fcc7fe0219777faf808e8998a.jpg,0,anthracnose,61f4a5dc40ef,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose14__jpg.rf.2ea5956944ae3b017ff0640317dc2ae1.jpg,0,anthracnose,ac2e4fce3a4a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose249__jpg.rf.83e72c9486ccdd4dc3f00ec1b05fab14.jpg,0,anthracnose,e4fe16028b54,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1666__jpg.rf.dfa2d3149e906d6209bf4cbd5de89a5b.jpg,0,anthracnose,ec1e6e63b0a0,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose451__jpg.rf.c99e3008a47dd65bef7b29f3188d638b.jpg,0,anthracnose,a41936cd9d44,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1084__jpg.rf.3e932b5fe4e803b02c98252afbeaac0a.jpg,0,anthracnose,f3032f9c1372,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1244__jpg.rf.fb9438e4b27fab63d1456d02ed6b374b.jpg,0,anthracnose,da7bfe1964fc,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose624__jpg.rf.b4bbdfd1f7f5b65610f5f2dba7c16a0b.jpg,0,anthracnose,a5d718a21593,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose451__jpg.rf.d2b2eb92c5fe6d733a360c5d3be3ac34.jpg,0,anthracnose,e3460e0ddaa4,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1379__jpg.rf.4272ae26d9558cd24fa1e29857756419.jpg,0,anthracnose,ece73b90a249,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose6__jpg.rf.889e13b655e8225186992ea17cd6fc21.jpg,0,anthracnose,58c59aa53a85,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1585__jpg.rf.a7bc6cdc3a6c16ac2915c9de7a18eb51.jpg,0,anthracnose,f6ac67ccf75f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1322__jpg.rf.a7c144d1d31b76a65457b319bf7a2f14.jpg,0,anthracnose,6e6bbde5604a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose13__jpg.rf.adbdcbc9a193d5ca7f95d768e706ab60.jpg,0,anthracnose,561f8e55b4c7,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose164__jpg.rf.1b98780cf7c47fa97c67b2d813ece849.jpg,0,anthracnose,79f7dba48a82,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose262__jpg.rf.1175d619603c007e359805695e1c1c4b.jpg,0,anthracnose,f71104873c16,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose278__jpg.rf.3354963ebcd4dfffb361a6ae2fa4037d.jpg,0,anthracnose,a6b5c6fc7858,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose331__jpg.rf.4989a929d3206cd762909e7a68830bf5.jpg,0,anthracnose,9aa35ef5bb14,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose914__jpg.rf.d7e23d9eceeeecd8ac4d91de5a7ad9a0.jpg,0,anthracnose,07b9d78e5b22,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose294__jpg.rf.34c8a253e0c235fd0cbe49fbedf874d7.jpg,0,anthracnose,715600df32bc,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1397__jpg.rf.2c7ad23fa510c71fc5d2783052529d97.jpg,0,anthracnose,14d5e5ee49f1,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose51__jpg.rf.2732fb0de0a57ecaf67365e8a47c4173.jpg,0,anthracnose,1ffe32ffc369,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1583__jpg.rf.c4f4a7668982507e3800a126c783ab93.jpg,0,anthracnose,55e551cc09d2,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1610__jpg.rf.7a4970ebb59e60e7ef936d3784e43ef8.jpg,0,anthracnose,c62570911b8d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1195__jpg.rf.a1df3426e6dc0c325951e1dcfee2dfad.jpg,0,anthracnose,d16dab9d861e,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1136__jpg.rf.81404dce10491606311db2fa28af625b.jpg,0,anthracnose,eb0dca7c1624,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose47__jpg.rf.ae204c0491bbf33c44df8fad34323bb8.jpg,0,anthracnose,032df7103850,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose918__jpg.rf.c3205fcdc37f60a39d0f0d5ccd1376c1.jpg,0,anthracnose,c42248bf950a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose767__jpg.rf.3f1ee8721fe02e5c6eeeecf0ee7e8489.jpg,0,anthracnose,af3f5a6b9c14,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1164__jpg.rf.76cd61f9aa50333119dd0287c819ec6b.jpg,0,anthracnose,17ddf20cf1fa,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose782__jpg.rf.f13507c5da240f3313a90f91842a11dd.jpg,0,anthracnose,1543db617ced,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1677__jpg.rf.bcea2bba84f1108ec4bb1c638b8100b0.jpg,0,anthracnose,3296da635033,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose524__jpg.rf.721a90d9ce730d5a7d146e8f3996decb.jpg,0,anthracnose,4d38d28976a2,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose572__jpg.rf.731236b0140f6c1bce381f7308084875.jpg,0,anthracnose,01ffced8dfd7,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1611__jpg.rf.67a91783ce2015c394a9b17ce25b75b7.jpg,0,anthracnose,c62570911b8d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose40__jpg.rf.8f041a01cfc833631b214cfc90b62285.jpg,0,anthracnose,d8a4866b254c,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose970__jpg.rf.4940faa9ae50c6ea90c741794e665fa3.jpg,0,anthracnose,cb41c8a3afac,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1531__jpg.rf.777c5f544e66d1ae5752154e56e2d528.jpg,0,anthracnose,f1b826824741,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1625__jpg.rf.07d2686814604ca587265b9ddfa4af82.jpg,0,anthracnose,70c38997c044,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose682__jpg.rf.7391389d4d6a7da78aeb0f3dc25a0fdb.jpg,0,anthracnose,0d7481502ad5,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose994__jpg.rf.5503c1dd9c5e12e3c11b38992c0f90bb.jpg,0,anthracnose,bb37bba66ea5,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose92__jpg.rf.abf5d7cee861c9e741f4dc8dd225074e.jpg,0,anthracnose,2062b80fbfd2,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose319__jpg.rf.1526fd43bf8305a2eef2879dcfc5f053.jpg,0,anthracnose,ef5ef07b5ec5,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1499__jpg.rf.aa95c8bde06f4f9adc06ab9dfe45862e.jpg,0,anthracnose,7eb299a81a61,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1680__jpg.rf.3022389c3096311092836dde0b334218.jpg,0,anthracnose,36d3095027dc,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1262__jpg.rf.00e1cd5a423b45166238326785c69541.jpg,0,anthracnose,a8f961b8c9f7,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose776__jpg.rf.b6828fe408f11b58b1db4e86487f0cf2.jpg,0,anthracnose,a50ed22a9252,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1234__jpg.rf.c3eafc57a202fb271202b752d0cc7cc6.jpg,0,anthracnose,6445ed443d60,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1566__jpg.rf.f16eeda0e5d59441e79acf00aaecafea.jpg,0,anthracnose,9f94bdfabbb8,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose118__jpg.rf.3fd02f4509ea59f1d72259a046d4b31f.jpg,0,anthracnose,57d4f3bcf210,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1424__jpg.rf.2a8bc874660bfd3502216ed72c8e585e.jpg,0,anthracnose,8cb5f7232d1c,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose513__jpg.rf.d93ed609a830507917466be83661bb37.jpg,0,anthracnose,d7a4dde97237,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose523__jpg.rf.05960e516c425bc7b244681d6e583115.jpg,0,anthracnose,35b000335d6f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose152__jpg.rf.7c72729cc666bc8c886cbf32927a0ea5.jpg,0,anthracnose,e05cf66596e3,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose979__jpg.rf.4b3d7d5ddf783848fccc72375a22a8bc.jpg,0,anthracnose,7a2d05f01c50,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose405__jpg.rf.e0a6b6cbc68879f70a1fffdb71ea3e95.jpg,0,anthracnose,e4fe16028b54,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose979__jpg.rf.8e930eff9c21809304cdcc7dd6fa686b.jpg,0,anthracnose,72b04a7fa22f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1107__jpg.rf.3ba3ba770bb1784fa833f22cd74785d6.jpg,0,anthracnose,ded5c65ad925,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose778__jpg.rf.4c35223d707dd454f2629721ccfb4727.jpg,0,anthracnose,652c746c9798,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose354__jpg.rf.54f38b400b27e9c01f780fe47c774554.jpg,0,anthracnose,a17e681fe9d5,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose591__jpg.rf.417d8f721ed3c3af95e507e9dbe8cbd0.jpg,0,anthracnose,00f26f1b33a5,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose813__jpg.rf.906576779137426a5cbd4d302b48694c.jpg,0,anthracnose,d55bd249d82f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose520__jpg.rf.15d5c5e15b7fc832b4e29858749f3b8b.jpg,0,anthracnose,493a0d4fbc1b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose280__jpg.rf.ae40c96dd834068760680fe4bce8e3fc.jpg,0,anthracnose,9815db334ea2,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1506__jpg.rf.432d0a625edf4df825663be4cad0cdf6.jpg,0,anthracnose,79506a5d6a20,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1583__jpg.rf.dffdb0edc63a582adbac38d55feb8d17.jpg,0,anthracnose,218421b9d128,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1050__jpg.rf.716955bad47f0d4eb3787d1f6e300e52.jpg,0,anthracnose,3a303f217795,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1106__jpg.rf.e5ceb58e8962a0bc3f3acc3bbd40e840.jpg,0,anthracnose,dd025ed4dd40,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1201__jpg.rf.19ee4a59a05b2db3f28ffdaa3c4e9f12.jpg,0,anthracnose,b3ba4f838f28,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1556__jpg.rf.ed8a9ef0fa33ddb2f88af93663406bcd.jpg,0,anthracnose,d12c6f834419,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose970__jpg.rf.1dd6f5e563f239c49bbb72c62e6b347f.jpg,0,anthracnose,47501b24a69d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose406__jpg.rf.b01a27d0b0c31d064340836ec06c93bd.jpg,0,anthracnose,08ecf4a37a27,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1113__jpg.rf.b4f10e75b5eba3e0fb015bd8cd896fa9.jpg,0,anthracnose,f8da9ca5614c,test,-1
